,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Orryjar Lane,Kieran,Ward,56,Head,Single,Male,Careers adviser,None,Catholic
1,1,Orryjar Lane,Abdul,Pickering,43,None,Single,Male,Public relations account executive,None,Christian
2,2,Orryjar Lane,Rosemary,Steele,30,Head,Single,Female,Meteorologist,None,Christian
3,3,Orryjar Lane,Marilyn,Cooke,53,Head,Single,Female,Jewellery designer,None,Christian
4,4,Orryjar Lane,Samantha,Coates,63,Head,Single,Female,Trade mark attorney,None,None
5,4,Orryjar Lane,Phillip,Dale,52,None,Single,Male,Retail merchandiser,None,Christian
6,5,Orryjar Lane,Douglas,Thomas,64,Head,Divorced,Male,Commissioning editor,None,Christian
7,6,Orryjar Lane,Louise,Mitchell,57,Head,Single,Female,Unemployed,None,Christian
8,6,Orryjar Lane,Jade,Mitchell,24,Daughter,Single,Female,"Engineer, mining",None,Christian
9,6,Orryjar Lane,Mathew,Mitchell,20,Son,Single,Male,University Student,None,None
10,7,Orryjar Lane,Annette,Young,53,Head,Married,Female,Charity officer,None,Christian
11,7,Orryjar Lane,William,Young,57,Husband,Married,Male,Volunteer coordinator,None,None
12,7,Orryjar Lane,Claire,Young,13,Daughter,NA,Female,Student,None,NA
13,7,Orryjar Lane,Ellie,Young,11,Daughter,NA,Female,Student,None,NA
14,7,Orryjar Lane,Rhys,Young,9,Son,NA,Male,Student,None,NA
15,8,Orryjar Lane,Chelsea,Wilkinson,45,Head,Single,Female,Water quality scientist,None,None
16,9,Orryjar Lane,Joshua,Allen,60,Head,Single,Male,Chartered legal executive (England and Wales),None,None
17,9,Orryjar Lane,Lynn,Jackson,55,Partner,Single,Female,Multimedia programmer,None,None
18,10,Orryjar Lane,Valerie,Kerr,30,Head,Married,Female,Unemployed,None,None
19,10,Orryjar Lane,Dylan,Kerr,31,Husband,Married,Male,Oncologist,None,None
20,11,Orryjar Lane,Diane,Williams,49,Head,Married,Female,Medical technical officer,None,Christian
21,11,Orryjar Lane,John,Collins,50,Husband,Married,Male,Podiatrist,None,Christian
22,12,Orryjar Lane,Julie,Lee,19,Head,Married,Female,University Student,None,None
23,12,Orryjar Lane,Jacob,Lee,21,Husband,Married,Male,University Student,None,None
24,13,Orryjar Lane,Gary,Read,26,Head,Married,Male,Insurance broker,None,Christian
25,13,Orryjar Lane,Katherine,Read,25,Wife,Married,Female,Chief of Staff,None,Christian
26,14,Orryjar Lane,Sophie,Long,59,Head,Single,Female,Museum/gallery curator,None,Christian
27,14,Orryjar Lane,Damian,Turner,59,Partner,Single,Male,"Engineer, chemical",None,Christian
28,15,Orryjar Lane,Christopher,Murray,57,Head,Single,Male,Architect,Deaf,Christian
29,15,Orryjar Lane,Frederick,Thomas,46,None,Single,Male,Scientific laboratory technician,None,Jewish
30,15,Orryjar Lane,Charles,Holmes,49,None,Single,Male,Cabin crew,None,Catholic
31,16,Orryjar Lane,Eric,Lewis,59,Head,Divorced,Male,Unemployed,None,Methodist
32,16,Orryjar Lane,Gareth,Lewis,30,Son,Single,Male,Unemployed,None,Methodist
33,16,Orryjar Lane,Clive,Lewis,26,Son,Single,Male,Community development worker,None,Methodist
34,16,Orryjar Lane,Louise,Lewis,24,Daughter,Single,Female,Financial trader,None,Methodist
35,16,Orryjar Lane,Kathleen,Lewis,21,Daughter,Single,Female,University Student,None,Methodist
36,17,Orryjar Lane,Lindsey,Richards,56,Head,Married,Female,Insurance broker,None,Christian
37,17,Orryjar Lane,Sam,Richards,57,Husband,Married,Male,Structural engineer,None,Christian
38,18,Orryjar Lane,Benjamin,Byrne,52,Head,Married,Male,Unemployed,None,Christian
39,18,Orryjar Lane,June,Byrne,50,Wife,Married,Female,Environmental education officer,None,Christian
40,19,Orryjar Lane,Leah,Khan,41,Head,Single,Female,Unemployed,None,None
41,19,Orryjar Lane,Paul,O'Brien,46,Partner,Single,Male,Medical technical officer,None,None
42,19,Orryjar Lane,Annette,Khan,14,Daughter,NA,Female,Student,None,NA
43,20,Orryjar Lane,Linda,Fox,45,Head,Single,Female,Broadcast engineer,None,Methodist
44,20,Orryjar Lane,Joseph,Fox,16,Son,NA,Male,Student,None,NA
45,21,Orryjar Lane,Kieran,Boyle-Barker,26,Head,Married,Male,Unemployed,None,None
46,21,Orryjar Lane,Suzanne,Boyle-Barker,21,Wife,Married,Female,University Student,None,None
47,22,Orryjar Lane,Laura,Taylor,47,Head,Married,Female,"Engineer, automotive",None,Methodist
48,22,Orryjar Lane,Justin,Taylor,50,Husband,Married,Male,Mechanical engineer,None,Methodist
49,22,Orryjar Lane,Claire,Roberts-Taylor,22,Daughter,Single,Female,University Student,None,None
50,22,Orryjar Lane,Bruce,Roberts-Taylor,19,Son,Single,Male,University Student,None,Methodist
51,22,Orryjar Lane,Alex,Roberts-Taylor,15,Son,NA,Male,Student,None,NA
52,23,Orryjar Lane,Geoffrey,Thomas,72,Head,Married,Male,"Retired Scientist, biomedical",None,None
53,23,Orryjar Lane,Paula,Thomas,68,Wife,Married,Female,Retired Public relations officer,None,None
54,24,Orryjar Lane,Luke,Young,66,Head,Widowed,Male,Geophysicist/field seismologist,None,Catholic
55,25,Orryjar Lane,Natalie,Shah,33,Head,Married,Female,Veterinary surgeon,None,None
56,25,Orryjar Lane,Joe,Shah,35,Husband,Married,Male,Computer games developer,None,None
57,25,Orryjar Lane,Wayne,Shah,5,Son,NA,Male,Student,None,NA
58,25,Orryjar Lane,Samantha,Shah,2,Daughter,NA,Female,Child,None,NA
59,25,Orryjar Lane,Phillip,Shah,2,Son,NA,Male,Child,None,NA
60,25,Orryjar Lane,Rhys,Carr,45,Lodger,Widowed,Male,"Optician, dispensing",None,Christian
61,26,Orryjar Lane,Lesley,Thompson,86,Head,Divorced,Female,Retired Public librarian,None,Christian
62,26,Orryjar Lane,Josephine,Davies-Thompson,37,Daughter,Single,Female,Hydrogeologist,None,None
63,27,Orryjar Lane,Jessica,Davies,21,Head,Single,Female,University Student,None,None
64,27,Orryjar Lane,Simon,Atkinson,19,None,Single,Male,University Student,None,Methodist
65,27,Orryjar Lane,Sian,Walsh,18,None,Single,Female,University Student,None,None
66,28,Orryjar Lane,Caroline,Wells,20,Head,Married,Female,University Student,None,Catholic
67,28,Orryjar Lane,Max,Wells,21,Husband,Married,Male,University Student,None,None
68,29,Orryjar Lane,Malcolm,Long,32,Head,Married,Male,"Engineer, materials",None,Christian
69,29,Orryjar Lane,Joyce,Long,25,Wife,Married,Female,Retail banker,None,Christian
70,30,Orryjar Lane,Georgia,Taylor,51,Head,Single,Female,Risk analyst,None,Christian
71,30,Orryjar Lane,Sam,Taylor,13,Son,NA,Male,Student,None,NA
72,31,Orryjar Lane,Graham,Webb,71,Head,Married,Male,Retired Chartered public finance accountant,None,Christian
